cluster_rep,DMS_id,split
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,train
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,train
A0A192B1T2_9HIV1_Haddox_2018,Q2N0S5_9HIV1_Haddox_2018,train
A0A192B1T2_9HIV1_Haddox_2018,ENV_HV1B9_DuenasDecamp_2016,train
A0A192B1T2_9HIV1_Haddox_2018,ENV_HV1BR_Haddox_2016,train
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,train
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,test
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA_Wu_2014,train
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA_Doud_2016,train
A0A2Z5U3Z0_9INFA_Wu_2014,C6KNH7_9INFA_Lee_2018,train
A4_HUMAN_Seuma_2022,A4_HUMAN_Seuma_2022,test
A4D664_9INFA_Soh_2019,A4D664_9INFA_Soh_2019,train
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI_Chen_2020,train
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI_Dandage_2018,test
ACE2_HUMAN_Chan_2020,ACE2_HUMAN_Chan_2020,test
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN_Jones_2020,train
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN_Gajula_2014_3cycles,train
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_Tsuboyama_2023_4G3O,train
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE_Wrenbeck_2017,train
ANCSZ_Hobbs_2022,ANCSZ_Hobbs_2022,train
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI_Tsuboyama_2023_1AOY,train
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,train
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_Tsuboyama_2023_1TG0,train
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_Tsuboyama_2023_2KRU,train
BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Deng_2012,train
BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Firnberg_2014,train
BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Jacquier_2013,train
BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Stiffler_2015,train
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN_Findlay_2018,test
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN_Erwood_2022_HEK293T,train
CALM1_HUMAN_Weile_2017,CALM1_HUMAN_Weile_2017,train
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S_Sinai_2021,train
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN_Meitlis_2020_lof,test
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN_Meitlis_2020_gof,test
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1_Spencer_2017_positive,test
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN_Roychowdhury_2020,train
CASP3_HUMAN_Roychowdhury_2020,CASP7_HUMAN_Roychowdhury_2020,train
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_Tsuboyama_2023_2AMI,train
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_Tsuboyama_2023_1O6X,train
CBS_HUMAN_Sun_2020,CBS_HUMAN_Sun_2020,train
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_Tsuboyama_2023_2K28,train
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI_Tripathi_2016,train
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI_Adkar_2012,train
CCR5_HUMAN_Gill_2023,CCR5_HUMAN_Gill_2023,train
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN_Klesmith_2019_FMC_singles,test
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN_Amorosi_2021_activity,train
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN_Amorosi_2021_abundance,train
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_Tsuboyama_2023_1UFM,train
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_Tsuboyama_2023_2MYX,train
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR_Somermeyer_2022,test
D7PM05_CLYGR_Somermeyer_2022,Q8WTC7_9CNID_Somermeyer_2022,test
D7PM05_CLYGR_Somermeyer_2022,GFP_AEQVI_Sarkisyan_2016,test
DLG4_RAT_McLaughlin_2012,DLG4_RAT_McLaughlin_2012,test
DLG4_RAT_McLaughlin_2012,DLG4_HUMAN_Faure_2021,test
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2_Tsuboyama_2023_1JIC,train
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_Tsuboyama_2023_2LO1,train
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,train
DYR_ECOLI_Thompson_2019,DYR_ECOLI_Thompson_2019,train
DYR_ECOLI_Thompson_2019,DYR_ECOLI_Nguyen_2023,train
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI_Ghose_2023,train
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN_Tsuboyama_2023_1F0M,train
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN_Elazar_2016,train
ESTA_BACSU_Nutschel_2020,ESTA_BACSU_Nutschel_2020,train
